year,city,country,average riyadh temp,average global temp,years,,global moving average,riyadh moving average 
,,,,,years,,global moving average,riyadh moving average 
1843,Riyadh,Saudi Arabia,24.74,8.17,1843,1852,8.045,23.07375
1844,Riyadh,Saudi Arabia,15.45,7.65,1844,1853,8.032,23.0975
1845,Riyadh,Saudi Arabia,20.82,7.85,1845,1854,8.088,24.25625
1846,Riyadh,Saudi Arabia,,8.55,1846,1855,8.114,24.76875
1847,Riyadh,Saudi Arabia,,8.09,1847,1856,8.059,24.74666667
1848,Riyadh,Saudi Arabia,24.56,7.98,1848,1857,8.026,24.698
1849,Riyadh,Saudi Arabia,24.8,7.98,1849,1858,8.038,24.743
1850,Riyadh,Saudi Arabia,24.34,7.9,1850,1859,8.065,24.758
1851,Riyadh,Saudi Arabia,25.03,8.18,1851,1860,8.071,24.818
1852,Riyadh,Saudi Arabia,24.85,8.1,1852,1861,8.038,24.728
1853,Riyadh,Saudi Arabia,24.93,8.04,1853,1862,7.984,24.62
1854,Riyadh,Saudi Arabia,24.72,8.21,1854,1863,7.991,24.555
1855,Riyadh,Saudi Arabia,24.92,8.11,1855,1864,7.968,24.586
1856,Riyadh,Saudi Arabia,24.57,8,1856,1865,7.975,24.617
1857,Riyadh,Saudi Arabia,24.26,7.76,1857,1866,8.004,24.652
1858,Riyadh,Saudi Arabia,25.01,8.1,1858,1867,8.072,24.748
1859,Riyadh,Saudi Arabia,24.95,8.25,1859,1868,8.087,24.747
1860,Riyadh,Saudi Arabia,24.94,7.96,1860,1869,8.105,24.782
1861,Riyadh,Saudi Arabia,24.13,7.85,1861,1870,8.129,24.79
1862,Riyadh,Saudi Arabia,23.77,7.56,1862,1871,8.156,24.85
1863,Riyadh,Saudi Arabia,24.28,8.11,1863,1872,8.219,24.96
1864,Riyadh,Saudi Arabia,25.03,7.98,1864,1873,8.243,25.056
1865,Riyadh,Saudi Arabia,25.23,8.18,1865,1874,8.288,25.051
1866,Riyadh,Saudi Arabia,24.92,8.29,1866,1875,8.256,24.971
1867,Riyadh,Saudi Arabia,25.22,8.44,1867,1876,8.235,24.968
1868,Riyadh,Saudi Arabia,25,8.25,1868,1877,8.245,24.993
1869,Riyadh,Saudi Arabia,25.3,8.43,1869,1878,8.303,25.044
1870,Riyadh,Saudi Arabia,25.02,8.2,1870,1879,8.277,25.038
1871,Riyadh,Saudi Arabia,24.73,8.12,1871,1880,8.269,25.016
1872,Riyadh,Saudi Arabia,24.87,8.19,1872,1881,8.284,25.106
1873,Riyadh,Saudi Arabia,25.24,8.35,1873,1882,8.278,25.085
1874,Riyadh,Saudi Arabia,24.98,8.43,1874,1883,8.241,25.08
1875,Riyadh,Saudi Arabia,24.43,7.86,1875,1884,8.175,25.062
1876,Riyadh,Saudi Arabia,24.89,8.08,1876,1885,8.181,25.117
1877,Riyadh,Saudi Arabia,25.47,8.54,1877,1886,8.168,25.126
1878,Riyadh,Saudi Arabia,25.51,8.83,1878,1887,8.105,25.06
1879,Riyadh,Saudi Arabia,25.24,8.17,1879,1888,8.031,25.022
1880,Riyadh,Saudi Arabia,24.8,8.12,1880,1889,8.046,25.05
1881,Riyadh,Saudi Arabia,25.63,8.27,1881,1890,8.031,25.077
1882,Riyadh,Saudi Arabia,24.66,8.13,1882,1891,8.006,25.053
1883,Riyadh,Saudi Arabia,25.19,7.98,1883,1892,8,25.109
1884,Riyadh,Saudi Arabia,24.8,7.77,1884,1893,8.008,25.109
1885,Riyadh,Saudi Arabia,24.98,7.92,1885,1894,8.047,25.095
1886,Riyadh,Saudi Arabia,24.98,7.95,1886,1895,8.07,25.066
1887,Riyadh,Saudi Arabia,24.81,7.91,1887,1896,8.096,25.056
1888,Riyadh,Saudi Arabia,25.13,8.09,1888,1897,8.134,25.061
1889,Riyadh,Saudi Arabia,25.52,8.32,1889,1898,8.143,25.036
1890,Riyadh,Saudi Arabia,25.07,7.97,1890,1899,8.151,24.996
1891,Riyadh,Saudi Arabia,25.39,8.02,1891,1900,8.204,25.018
1892,Riyadh,Saudi Arabia,25.22,8.07,1892,1901,8.256,25.034
1893,Riyadh,Saudi Arabia,25.19,8.06,1893,1902,8.279,25.037
1894,Riyadh,Saudi Arabia,24.66,8.16,1894,1903,8.295,24.982
1895,Riyadh,Saudi Arabia,24.69,8.15,1895,1904,8.288,25.023
1896,Riyadh,Saudi Arabia,24.88,8.21,1896,1905,8.296,25.041
1897,Riyadh,Saudi Arabia,24.86,8.29,1897,1906,8.313,25.038
1898,Riyadh,Saudi Arabia,24.88,8.18,1898,1907,8.279,24.996
1899,Riyadh,Saudi Arabia,25.12,8.4,1899,1908,8.28,25.003
1900,Riyadh,Saudi Arabia,25.29,8.5,1900,1909,8.258,25.048
1901,Riyadh,Saudi Arabia,25.55,8.54,1901,1910,8.23,24.994
1902,Riyadh,Saudi Arabia,25.25,8.3,1902,1911,8.194,24.863
1903,Riyadh,Saudi Arabia,24.64,8.22,1903,1912,8.181,24.834
1904,Riyadh,Saudi Arabia,25.07,8.09,1904,1913,8.189,24.833
1905,Riyadh,Saudi Arabia,24.87,8.23,1905,1914,8.239,24.82
1906,Riyadh,Saudi Arabia,24.85,8.38,1906,1915,8.275,24.871
1907,Riyadh,Saudi Arabia,24.44,7.95,1907,1916,8.26,24.871
1908,Riyadh,Saudi Arabia,24.95,8.19,1908,1917,8.267,24.93
1909,Riyadh,Saudi Arabia,25.57,8.18,1909,1918,8.261,24.901
1910,Riyadh,Saudi Arabia,24.75,8.22,1910,1919,8.281,24.883
1911,Riyadh,Saudi Arabia,24.24,8.18,1911,1920,8.295,24.902
1912,Riyadh,Saudi Arabia,24.96,8.17,1912,1921,8.334,24.962
1913,Riyadh,Saudi Arabia,24.63,8.3,1913,1922,8.358,25.001
1914,Riyadh,Saudi Arabia,24.94,8.59,1914,1923,8.37,25.048
1915,Riyadh,Saudi Arabia,25.38,8.59,1915,1924,8.362,25.123
1916,Riyadh,Saudi Arabia,24.85,8.23,1916,1925,8.356,25.085
1917,Riyadh,Saudi Arabia,25.03,8.02,1917,1926,8.406,25.119
1918,Riyadh,Saudi Arabia,24.66,8.13,1918,1927,8.456,25.145
1919,Riyadh,Saudi Arabia,25.39,8.38,1919,1928,8.506,25.218
1920,Riyadh,Saudi Arabia,24.94,8.36,1920,1929,8.492,25.215
1921,Riyadh,Saudi Arabia,24.84,8.57,1921,1930,8.519,25.26
1922,Riyadh,Saudi Arabia,25.35,8.41,1922,1931,8.534,25.314
1923,Riyadh,Saudi Arabia,25.1,8.42,1923,1932,8.564,25.275
1924,Riyadh,Saudi Arabia,25.69,8.51,1924,1933,8.556,25.232
1925,Riyadh,Saudi Arabia,25,8.53,1925,1934,8.568,25.16
1926,Riyadh,Saudi Arabia,25.19,8.73,1926,1935,8.567,25.221
1927,Riyadh,Saudi Arabia,25.29,8.52,1927,1936,8.549,25.217
1928,Riyadh,Saudi Arabia,25.39,8.63,1928,1937,8.567,25.196
1929,Riyadh,Saudi Arabia,25.36,8.24,1929,1938,8.59,25.168
1930,Riyadh,Saudi Arabia,25.39,8.63,1930,1939,8.642,25.148
1931,Riyadh,Saudi Arabia,25.38,8.72,1931,1940,8.655,25.16
1932,Riyadh,Saudi Arabia,24.96,8.71,1932,1941,8.66,25.159
1933,Riyadh,Saudi Arabia,24.67,8.34,1933,1942,8.662,25.212
1934,Riyadh,Saudi Arabia,24.97,8.63,1934,1943,8.704,25.241
1935,Riyadh,Saudi Arabia,25.61,8.52,1935,1944,8.726,25.304
1936,Riyadh,Saudi Arabia,25.15,8.55,1936,1945,8.732,25.273
1937,Riyadh,Saudi Arabia,25.08,8.7,1937,1946,8.745,25.307
1938,Riyadh,Saudi Arabia,25.11,8.86,1938,1947,8.755,25.399
1939,Riyadh,Saudi Arabia,25.16,8.76,1939,1948,8.744,25.373
1940,Riyadh,Saudi Arabia,25.51,8.76,1940,1949,8.727,25.339
1941,Riyadh,Saudi Arabia,25.37,8.77,1941,1950,8.688,25.286
1942,Riyadh,Saudi Arabia,25.49,8.73,1942,1951,8.674,25.359
1943,Riyadh,Saudi Arabia,24.96,8.76,1943,1952,8.665,25.382
1944,Riyadh,Saudi Arabia,25.6,8.85,1944,1953,8.676,25.437
1945,Riyadh,Saudi Arabia,25.3,8.58,1945,1954,8.647,25.457
1946,Riyadh,Saudi Arabia,25.49,8.68,1946,1955,8.652,25.46
1947,Riyadh,Saudi Arabia,26,8.8,1947,1956,8.612,25.413
1948,Riyadh,Saudi Arabia,24.85,8.75,1948,1957,8.605,25.282
1949,Riyadh,Saudi Arabia,24.82,8.59,1949,1958,8.607,25.361
1950,Riyadh,Saudi Arabia,24.98,8.37,1950,1959,8.621,25.293
1951,Riyadh,Saudi Arabia,26.1,8.63,1951,1960,8.642,25.362
1952,Riyadh,Saudi Arabia,25.72,8.64,1952,1961,8.659,25.264
1953,Riyadh,Saudi Arabia,25.51,8.87,1953,1962,8.67,25.302
1954,Riyadh,Saudi Arabia,25.8,8.56,1954,1963,8.669,25.305
1955,Riyadh,Saudi Arabia,25.33,8.63,1955,1964,8.654,25.239
1956,Riyadh,Saudi Arabia,25.02,8.28,1956,1965,8.644,25.265
1957,Riyadh,Saudi Arabia,24.69,8.73,1957,1966,8.676,25.379
1958,Riyadh,Saudi Arabia,25.64,8.77,1958,1967,8.673,25.397
1959,Riyadh,Saudi Arabia,24.14,8.73,1959,1968,8.648,25.354
1960,Riyadh,Saudi Arabia,25.67,8.58,1960,1969,8.635,25.545
1961,Riyadh,Saudi Arabia,25.12,8.8,1961,1970,8.647,25.562
1962,Riyadh,Saudi Arabia,26.1,8.75,1962,1971,8.627,25.543
1963,Riyadh,Saudi Arabia,25.54,8.86,1963,1972,8.602,25.407
1964,Riyadh,Saudi Arabia,25.14,8.41,1964,1973,8.611,25.413
1965,Riyadh,Saudi Arabia,25.59,8.53,1965,1974,8.617,25.439
1966,Riyadh,Saudi Arabia,26.16,8.6,1966,1975,8.638,25.384
1967,Riyadh,Saudi Arabia,24.87,8.7,1967,1976,8.613,25.265
1968,Riyadh,Saudi Arabia,25.21,8.52,1968,1977,8.628,25.377
1969,Riyadh,Saudi Arabia,26.05,8.6,1969,1978,8.645,25.451
1970,Riyadh,Saudi Arabia,25.84,8.7,1970,1979,8.658,25.466
1971,Riyadh,Saudi Arabia,24.93,8.6,1971,1980,8.686,25.465
1972,Riyadh,Saudi Arabia,24.74,8.5,1972,1981,8.743,25.567
1973,Riyadh,Saudi Arabia,25.6,8.95,1973,1982,8.757,25.555
1974,Riyadh,Saudi Arabia,25.4,8.47,1974,1983,8.765,25.48
1975,Riyadh,Saudi Arabia,25.04,8.74,1975,1984,8.787,25.445
1976,Riyadh,Saudi Arabia,24.97,8.35,1976,1985,8.779,25.471
1977,Riyadh,Saudi Arabia,25.99,8.85,1977,1986,8.827,25.51
1978,Riyadh,Saudi Arabia,25.95,8.69,1978,1987,8.841,25.548
1979,Riyadh,Saudi Arabia,26.2,8.73,1979,1988,8.892,25.552
1980,Riyadh,Saudi Arabia,25.83,8.98,1980,1989,8.911,25.437
1981,Riyadh,Saudi Arabia,25.95,9.17,1981,1990,8.936,25.424
1982,Riyadh,Saudi Arabia,24.62,8.64,1982,1991,8.937,25.372
1983,Riyadh,Saudi Arabia,24.85,9.03,1983,1992,8.957,25.347
1984,Riyadh,Saudi Arabia,25.05,8.69,1984,1993,8.941,25.404
1985,Riyadh,Saudi Arabia,25.3,8.66,1985,1994,8.976,25.507
1986,Riyadh,Saudi Arabia,25.36,8.83,1986,1995,9.045,25.541
1987,Riyadh,Saudi Arabia,26.37,8.99,1987,1996,9.066,25.633
1988,Riyadh,Saudi Arabia,25.99,9.2,1988,1997,9.087,25.545
1989,Riyadh,Saudi Arabia,25.05,8.92,1989,1998,9.119,25.619
1990,Riyadh,Saudi Arabia,25.7,9.23,1990,1999,9.156,25.806
1991,Riyadh,Saudi Arabia,25.43,9.18,1991,2000,9.153,25.891
1992,Riyadh,Saudi Arabia,24.37,8.84,1992,2001,9.176,26.015
1993,Riyadh,Saudi Arabia,25.42,8.87,1993,2002,9.249,26.222
1994,Riyadh,Saudi Arabia,26.08,9.04,1994,2003,9.315,26.342
1995,Riyadh,Saudi Arabia,25.64,9.35,1995,2004,9.343,26.354
1996,Riyadh,Saudi Arabia,26.28,9.04,1996,2005,9.378,26.417
1997,Riyadh,Saudi Arabia,25.49,9.2,1997,2006,9.427,26.413
1998,Riyadh,Saudi Arabia,26.73,9.52,1998,2007,9.48,26.513
1999,Riyadh,Saudi Arabia,26.92,9.29,1999,2008,9.471,26.461
2000,Riyadh,Saudi Arabia,26.55,9.2,2000,2009,9.493,26.44
2001,Riyadh,Saudi Arabia,26.67,9.41,2001,2010,9.543,26.522
2002,Riyadh,Saudi Arabia,26.44,9.57,2002,2011,9.554,26.495
2003,Riyadh,Saudi Arabia,26.62,9.53,2003,2012,9.548,26.534
2004,Riyadh,Saudi Arabia,26.2,9.32,2004,2013,9.556,26.65
2005,Riyadh,Saudi Arabia,26.27,9.7,,2014,,
2006,Riyadh,Saudi Arabia,26.24,9.53,,2015,,
2007,Riyadh,Saudi Arabia,26.49,9.73,,2016,,
2008,Riyadh,Saudi Arabia,26.21,9.43,,2017,,
2009,Riyadh,Saudi Arabia,26.71,9.51,,2018,,
2010,Riyadh,Saudi Arabia,27.37,9.7,,2019,,
2011,Riyadh,Saudi Arabia,26.4,9.52,,2020,,
2012,Riyadh,Saudi Arabia,26.83,9.51,,2021,,
2013,Riyadh,Saudi Arabia,27.78,9.61,,2022,,
